,ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,vol,amount
293,000300.SH,20120924,2270.054,2209.975,2305.18,2181.083,2199.063,16.453,0.7482,201758794.0,188153864.778
294,000300.SH,20120917,2215.516,2249.425,2253.144,2172.879,2315.542,-56.836999999999996,-2.4546,185746460.0,168816493.92200002
295,000300.SH,20120910,2258.705,2316.532,2337.196,2258.1820000000002,2317.179,9.487,0.4094,248489634.0,227090721.365
296,000300.SH,20120903,2326.666,2231.716,2341.522,2186.962,2204.868,23.500999999999998,1.0659,261160714.0,238092975.678
297,000300.SH,20120827,2228.369,2226.8979999999997,2250.6,2188.724,2275.677,-47.473,-2.0861,162789151.0,150234536.815
298,000300.SH,20120820,2228.2039999999997,2301.9320000000002,2327.375,2228.151,2313.476,-11.687999999999999,-0.5052,167194636.0,168465485.121
299,000300.SH,20120813,2301.788,2352.659,2357.847,2279.946,2399.751,-47.82,-1.9927,149800897.0,155618029.562
300,000300.SH,20120806,2351.931,2383.257,2413.423,2350.808,2353.737,31.874000000000002,1.3542,191241432.0,211949569.30200002
301,000300.SH,20120730,2385.611,2336.882,2388.363,2325.6079999999997,2349.1079999999997,-13.315,-0.5668,166627180.0,167018897.11900002
302,000300.SH,20120723,2335.7929999999997,2353.22,2392.353,2333.999,2398.455,-33.024,-1.3769,148096050.0,151162253.32099998
303,000300.SH,20120716,2365.431,2391.897,2444.0570000000002,2357.507,2450.633,-50.902,-2.0771,192135292.0,200177525.696
304,000300.SH,20120709,2399.731,2411.0029999999997,2467.99,2399.61,2472.614,-56.578,-2.2882,209389113.0,231386917.625
305,000300.SH,20120702,2416.036,2464.85,2490.547,2414.953,2461.612,3.6260000000000003,0.1473,206705548.0,229992029.6
306,000300.SH,20120625,2465.238,2442.562,2473.966,2417.486,2512.185,-55.667,-2.2159,170789693.0,186380917.254
307,000300.SH,20120618,2456.518,2577.362,2577.362,2455.008,2568.054,13.158,0.5124,138054659.0,151705177.245
308,000300.SH,20120611,2581.212,2543.765,2593.218,2529.951,2524.3289999999997,33.936,1.3444,201678884.0,227603756.63000005
309,000300.SH,20120604,2558.265,2565.186,2584.0389999999998,2520.409,2632.998,-73.972,-2.8094,190433476.0,218010875.599
310,000300.SH,20120528,2559.026,2615.145,2658.255,2558.92,2573.103,41.586000000000006,1.6162,264768100.0,299991795.133
311,000300.SH,20120521,2614.689,2598.167,2635.78,2545.3360000000002,2573.976,13.255,0.515,224949405.0,251852681.011
312,000300.SH,20120514,2587.231,2597.644,2619.589,2563.973,2636.917,-21.383000000000003,-0.8109,214800148.0,239650125.813
313,000300.SH,20120507,2615.534,2717.408,2717.825,2613.349,2715.8790000000004,1.899,0.0699,261562326.0,307008222.966
314,000300.SH,20120423,2717.778,2594.801,2717.778,2559.464,2626.8390000000004,-20.801,-0.7919,512082008.0,575521623.641
315,000300.SH,20120416,2606.038,2572.364,2632.092,2541.535,2580.4539999999997,-6.41,-0.2484,263063301.0,279106212.141
316,000300.SH,20120409,2574.044,2490.283,2593.788,2459.348,2519.83,-24.684,-0.9796,234266967.0,251773502.43300003
317,000300.SH,20120326,2495.146,2565.551,2571.899,2429.732,2552.94,2.502,0.098,301180033.0,333617664.438
318,000300.SH,20120319,2555.442,2622.66,2622.66,2540.696,2623.52,6.492999999999999,0.2475,236188853.0,265222820.227
319,000300.SH,20120312,2630.013,2653.6809999999996,2705.7540000000004,2575.437,2664.302,-9.9,-0.3716,355134853.0,396808699.796
320,000300.SH,20120305,2654.402,2654.7990000000004,2666.4320000000002,2594.1279999999997,2679.934,-17.236,-0.6432,294531431.0,336885845.595
321,000300.SH,20120227,2662.698,2652.342,2694.612,2621.8579999999997,2648.0170000000003,8.556000000000001,0.3231,314378675.0,330567206.446
322,000300.SH,20120220,2656.573,2544.835,2693.843,2520.786,2537.0860000000002,3.62,0.1427,382162332.0,391520946.005
323,000300.SH,20120213,2540.706,2528.967,2574.746,2506.5370000000003,2533.624,-1.643,-0.0648,248063947.0,256518626.069
324,000300.SH,20120206,2531.981,2489.032,2560.027,2441.698,2506.09,-1.768,-0.0705,268655221.0,279523891.535
325,000300.SH,20120130,2504.322,2462.3379999999997,2520.758,2423.45,2504.0860000000002,-43.36600000000001,-1.7318,202813005.0,213621906.13900003
326,000300.SH,20120116,2460.72,2347.5679999999998,2510.34,2329.248,2394.334,-48.685,-2.0333,281760663.0,290005984.237
327,000300.SH,20120109,2345.649,2365.768,2464.3779999999997,2345.633,2290.601,77.969,3.4039,263023080.0,262352507.54099998
328,000300.SH,20111226,2368.57,2332.826,2368.889,2254.567,2359.159,-23.456999999999997,-0.9943,296199657.0,267612481.686
329,000300.SH,20111219,2335.702,2376.709,2412.572,2294.607,2390.129,-5.721,-0.2394,161681701.0,147674303.74899998
330,000300.SH,20111212,2384.408,2467.016,2472.656,2321.657,2503.4610000000002,-25.769000000000002,-1.0293,172000568.0,158286592.32700002
331,000300.SH,20111205,2477.692,2515.044,2549.101,2476.116,2557.311,-35.926,-1.4048,123267472.0,124266041.729
