,order_time,volume,price,amount,commision,total,cash,credit,market value,lever,back
56,20141107,43100,25.368621,1093387.5651,1115.255316402,1094502.820416402,0.0,1556671.1282462005,640251.4503537996,2.4313433845186796,0.16051347831149743
57,20141111,42600,25.667404,1093431.4104000002,1115.3000386080002,1094546.7104386082,0.0,2651217.8386848085,665010.7581151915,3.986729246605017,0.12804950631964918
58,20141113,42000,25.990614500000003,1091605.8090000001,1113.43792518,1092719.24692518,0.0,3743937.0856099883,705656.1167900125,5.305611326152651,0.07475602177095841
59,20141120,-171200,25.370990000000003,-4343513.488000001,8773.897245760001,-4334739.590754241,590802.5051442524,0.0,590802.5051442524,0.0,0.22535007179705524
60,20141124,31300,26.49258,829217.754,845.80210908,830063.55610908,0.0,239261.05096482753,589956.7030351724,0.4055569666958477,0.2264590727531578
61,20141126,30500,27.23018,830520.49,847.1308998,831367.6208998,0.0,1070628.6718646274,612196.4521353727,1.7488318792606843,0.19729870208154865
62,20141128,29500,28.088190000000004,828601.6050000001,845.1736371000001,829446.7786371001,0.0,1900075.4505017274,664376.296498273,2.85993865301404,0.12888140131283876
63,20141201,29100,28.479777000000002,828761.5107000001,845.3367409140002,829606.8474409141,0.0,2726682.2979426417,702282.8528573588,3.8825984243366687,0.07917898653581112
64,20150206,-120400,33.1242,-3988153.68,8056.070433600001,-3980097.6095664003,1259415.3116237586,0.0,1259415.3116237586,0.0,-0.6513233647999284
65,20150316,43500,37.05671,1611966.885,1644.2062227000001,1613611.0912227,0.0,351195.7795989413,1260771.1054010587,0.27855633595538654,-0.0010765263569425532
66,20150318,42000,38.46055,1615343.0999999999,1647.6499619999997,1616990.749962,0.0,1968186.5295609413,1320190.4954390586,1.4908352517008367,-0.04712940341307892
67,20150320,41300,39.0296315,1611923.78095,1644.162256569,1613567.943206569,0.0,3581754.4727675105,1367202.8014324894,2.6197682370272504,-0.03561024424569559
68,20150323,40600,39.72061,1612656.766,1644.90990132,1614301.67590132,0.0,5196056.14866883,1453173.9653311698,3.575660087940455,-0.06288106183559883
69,20150619,-167400,46.370517,-7762424.5457999995,15680.097582515999,-7746744.448217483,2559688.299548653,0.0,2559688.299548653,0.0,-0.7614465718599046
