,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
62,000905.SH,20180919,4736.8934,4673.9479,4772.9524,4664.1301,4683.5056,53.3878,1.1399,67055856.0,55671376.0
63,000905.SH,20180918,4683.5056,4588.2344,4684.2885,4584.4336,4602.39,81.1156,1.7625,54432326.0,44579158.9
64,000905.SH,20180917,4602.3901,4649.9497,4649.9497,4586.3157,4670.0799,-67.6898,-1.4494,49338946.0,37905863.1
65,000905.SH,20180914,4670.0799,4720.7775,4724.003,4669.9429,4721.2121,-51.1322,-1.083,56447930.0,44931921.14600001
66,000905.SH,20180913,4721.2121,4727.4302,4752.8965,4655.2143,4693.9743,27.2378,0.5803,55692102.0,47279214.5
67,000905.SH,20180912,4693.9743,4700.8996,4733.5829,4681.1267,4702.9032,-8.9289,-0.1899,42540882.0,38524810.8
68,000905.SH,20180911,4702.9032,4702.8347,4738.2588,4669.4177,4704.8782,-1.975,-0.042,49968007.0,42215660.9
69,000905.SH,20180910,4704.8782,4792.5991,4794.0136,4701.289000000002,4791.7779,-86.8997,-1.8135,51326475.0,45376003.8
70,000905.SH,20180907,4791.7779,4796.8356,4867.5336,4759.4919,4793.3454,-1.5675,-0.0327,53600072.0,53242803.4
71,000905.SH,20180906,4793.3454,4800.935,4849.1761,4773.8777,4815.0343,-21.6889,-0.4504,45868494.0,44572540.9
72,000905.SH,20180905,4815.0343,4877.1141,4886.2734,4814.9568,4890.2806,-75.2463,-1.5387,58403543.0,47239977.7
73,000905.SH,20180904,4890.2806,4833.8785,4905.016,4828.5239,4838.8729,51.4077,1.0624,61024914.0,54969300.2
74,000905.SH,20180903,4838.873,4808.3791,4840.1523,4754.8097,4814.8237,24.0493,0.4995,52902602.0,46495749.6
75,000905.SH,20180831,4814.8237,4854.9649,4862.4442,4805.207,4867.1214,-52.2977,-1.0745,48012054.0,42052874.631
76,000905.SH,20180830,4867.1214,4937.6506,4952.6076,4861.0555,4941.9607,-74.8393,-1.5144,54158462.0,47422496.78600001
77,000905.SH,20180829,4941.9607,4972.0849,4974.1638,4929.4589,4974.2072,-32.2465,-0.6483,53272212.0,45121110.906
78,000905.SH,20180828,4974.2072,4964.7342,4983.9404,4954.1656,4960.0655,14.1417,0.2851,53465440.0,53028656.165
79,000905.SH,20180827,4960.0655,4859.1248,4964.4514,4859.1248,4852.2887,107.7768,2.2212,58545799.0,58402040.23899999
80,000905.SH,20180824,4852.2887,4853.8649,4880.891,4831.8874,4863.6651,-11.3764,-0.2339,43898100.0,41741677.834
81,000905.SH,20180823,4863.6651,4832.0069,4885.8114,4821.1107,4837.0183,26.6468,0.5509,47263811.0,47302482.149
82,000905.SH,20180822,4837.0183,4877.0124,4878.8189,4829.6051,4891.9801,-54.9618,-1.1235,43922267.0,41150044.535
83,000905.SH,20180821,4891.9801,4831.2092,4901.1166,4816.8528,4832.6512,59.3289,1.2277,49737904.0,48883527.002
84,000905.SH,20180820,4832.6512,4794.2367,4832.9089,4736.5592,4803.0285,29.6227,0.6168,51631112.0,47753724.289
85,000905.SH,20180817,4803.0285,4923.4353,4941.1012,4793.7669,4888.3712,-85.3427,-1.7458,51707974.0,47777882.689
86,000905.SH,20180816,4888.3712,4876.6946,4943.2003,4836.0505,4932.8063,-44.4351,-0.9008,52393844.0,47422713.812
87,000905.SH,20180815,4932.8063,5035.5656,5038.7747,4929.1978,5037.8831,-105.0768,-2.0857,53349985.0,49219326.097
88,000905.SH,20180814,5037.8831,5043.89,5061.4064,5016.3217,5055.2753,-17.3922,-0.344,46375912.0,47977087.12899999
89,000905.SH,20180813,5055.2753,4981.3434,5064.0215,4958.8879,5030.5148,24.7605,0.4922,55722652.0,57931356.663
90,000905.SH,20180810,5030.5148,5000.0489,5037.493,4990.8297,5004.7733,25.7415,0.5143,53185012.0,53025202.318
91,000905.SH,20180809,5004.7733,4862.1543,5030.1616,4856.4815,4880.5694,124.2039,2.5449,68264833.0,64727844.41800001
92,000905.SH,20180808,4880.5694,4940.7793,4952.4185,4877.6644,4956.8718,-76.3024,-1.5393,58083051.0,53408613.615
93,000905.SH,20180807,4956.8718,4836.3133,4956.8718,4797.4529,4825.2508,131.621,2.7278,59145780.0,55813440.682
94,000905.SH,20180806,4825.2508,4919.5015,4941.1774,4798.85,4929.75,-104.4992,-2.1198,52455220.0,51046892.567
95,000905.SH,20180803,4929.75,4982.894,5008.2403,4929.75,4996.012,-66.262,-1.3263,50735797.0,48281908.095
96,000905.SH,20180802,4996.012,5094.3419,5094.3419,4887.5023,5105.3741,-109.3621,-2.1421,74390325.0,67786089.635
97,000905.SH,20180801,5105.3741,5198.4559,5233.5012,5105.3741,5188.7166,-83.3425,-1.6062,60369485.0,58600856.45
98,000905.SH,20180731,5188.7166,5182.8265,5208.3796,5163.6611,5185.151,3.5656,0.0688,49496356.0,49340085.644
99,000905.SH,20180730,5185.151,5244.7718,5255.1878,5167.4021,5249.2904,-64.1394,-1.2219,60836024.0,58367011.438
100,000905.SH,20180727,5249.2904,5270.2317,5281.351,5230.1017,5273.4789,-24.1885,-0.4587,61715887.0,54149400.064
101,000905.SH,20180726,5273.4789,5307.3043,5318.8808,5262.3114,5308.6569,-35.178000000000004,-0.6627,75120240.0,65271805.645
102,000905.SH,20180725,5308.6569,5308.0154,5332.616,5294.4201,5304.641,4.0159,0.0757,74850860.0,72266872.32
103,000905.SH,20180724,5304.641,5213.3942,5315.6706,5211.9422,5214.0038,90.6372,1.7383,88201816.0,89531029.28
104,000905.SH,20180723,5214.0038,5146.6187,5214.3806,5132.3831,5175.2516,38.7522,0.7488,68484315.0,71205888.48
105,000905.SH,20180720,5175.2516,5105.6524,5184.8744,5072.1645,5111.3271,63.9245,1.2506,57868514.0,58971319.07399999
106,000905.SH,20180719,5111.3271,5153.3769,5179.727,5088.1243,5156.6363,-45.3092,-0.8787,50483934.0,51462192.224
107,000905.SH,20180718,5156.6363,5198.8899,5220.1757,5156.6363,5196.1969,-39.5606,-0.7613,55257134.0,57391510.843
108,000905.SH,20180717,5196.1969,5189.1488,5196.1969,5132.2064,5195.2002,0.9967,0.0192,48243322.0,52610201.44899999
109,000905.SH,20180716,5195.2002,5201.528,5216.5644,5170.2219,5204.1855,-8.9853,-0.1727,51667372.0,57488249.263
110,000905.SH,20180713,5204.1855,5174.5091,5207.3602,5167.1585,5172.5032,31.6823,0.6125,56354210.0,61214640.12
111,000905.SH,20180712,5172.5032,5029.2944,5184.0235,5029.2944,5036.1565,136.3467,2.7074,68089566.0,71215041.001
112,000905.SH,20180711,5036.1565,5060.0722,5070.4863,4973.9884,5136.5326,-100.3761,-1.9542,58915262.0,58812377.652
113,000905.SH,20180710,5136.5326,5114.1215,5141.713,5094.2862,5107.5507,28.9819,0.5674,52227669.0,54565886.98899999
114,000905.SH,20180709,5107.5507,5007.213,5107.8749,5007.213,4996.6299,110.9208,2.2199,52937159.0,55786376.98800001
115,000905.SH,20180706,4996.6299,4981.983,5061.0439,4897.2582,4982.7627,13.8672,0.2783,61340255.0,62083400.32600001
116,000905.SH,20180705,4982.7627,5109.1425,5126.4735,4981.7793,5121.3436,-138.5809,-2.7059,52927414.0,52638805.703
117,000905.SH,20180704,5121.3436,5171.1897,5180.2744,5102.782,5197.1313,-75.7877,-1.4583,53859951.0,53143823.675
118,000905.SH,20180703,5197.1313,5138.5477,5203.3646,5054.6573,5138.7826,58.3487,1.1355,61424233.0,64268450.148
119,000905.SH,20180702,5138.7826,5216.8532,5238.6382,5100.8747,5217.7643,-78.9817,-1.5137,55248929.0,58629477.98100001
120,000905.SH,20180629,5217.7643,5061.0885,5218.9061,5054.0532,5055.1093,162.655,3.2176,57234937.0,57894812.193
121,000905.SH,20180628,5055.1093,5097.5086,5150.655,5050.324000000001,5109.4975,-54.3882,-1.0645,47767518.0,46664972.984
122,000905.SH,20180627,5109.4975,5159.6219,5188.2017,5089.710999999998,5160.2829,-50.7854,-0.9842,49857841.0,48613424.21
123,000905.SH,20180626,5160.2829,5059.3834,5170.1673,5044.2434,5125.0333,35.2496,0.6878,51066587.0,49773352.5
124,000905.SH,20180625,5125.0333,5196.6483,5211.7609,5121.2091,5160.1228,-35.0895,-0.68,47860811.0,46663143.997
125,000905.SH,20180622,5160.1228,5052.436,5165.0353,5017.509,5089.2522,70.8706,1.3926,51689206.0,49898726.274
126,000905.SH,20180621,5089.2522,5196.1295,5244.6532,5086.931,5198.3935,-109.1413,-2.0995,63240478.0,60429343.501
127,000905.SH,20180620,5198.3935,5114.0613,5222.8827,5090.2209,5141.7095,56.684,1.1024,60329417.0,57106400.037
128,000905.SH,20180619,5141.7095,5396.6847,5409.4108,5070.2182,5483.9446,-342.2351,-6.2407,82986353.0,76922845.435
129,000905.SH,20180615,5483.9446,5582.8396,5593.6872,5448.0748,5586.9314,-102.9868,-1.8434,56448574.0,59537596.124
130,000905.SH,20180614,5586.9314,5590.5682,5645.194,5570.8344,5607.0173,-20.0859,-0.3582,44419709.0,49865462.908
131,000905.SH,20180613,5607.0173,5678.8092,5679.6739,5605.5454,5693.3461,-86.3288,-1.5163,49234214.0,53944405.09
132,000905.SH,20180612,5693.3461,5638.3479,5693.6129,5594.9231,5632.3566,60.9895,1.0828,46645358.0,54189505.137
133,000905.SH,20180611,5632.3566,5657.6488,5672.6279,5612.8656,5669.3031,-36.9465,-0.6517,43109691.0,48746492.299
134,000905.SH,20180608,5669.3031,5731.8389,5731.8389,5630.6578,5738.0176,-68.7145,-1.1975,52925555.0,58767162.89
135,000905.SH,20180607,5738.0176,5786.4601,5798.3297,5734.6345,5774.2575,-36.2399,-0.6276,47376191.0,54089371.806
136,000905.SH,20180606,5774.2575,5770.7144,5784.6061,5748.701,5779.0778,-4.8203,-0.0834,48182508.0,56304602.75600001
137,000905.SH,20180605,5779.0778,5681.2157,5779.861999999999,5680.4942,5683.1486,95.9292,1.6880000000000002,47410470.0,56450385.318
138,000905.SH,20180604,5683.1486,5692.9699,5707.4932,5652.1361,5685.1155,-1.9669,-0.0346,46750282.0,54050300.213
139,000905.SH,20180601,5685.1155,5729.9177,5759.4979,5654.8402,5754.4746,-69.3591,-1.2053,53833571.0,61533903.644
140,000905.SH,20180531,5754.4746,5722.9475,5760.2038,5672.183000000001,5682.5881,71.8865,1.265,56008854.0,65192215.18399999
141,000905.SH,20180530,5682.5881,5759.449000000001,5778.0424,5675.9116,5835.4456,-152.8575,-2.6195,68527885.0,76127637.098
142,000905.SH,20180529,5835.4456,5884.5898,5921.7203,5832.5523,5891.2627,-55.8171,-0.9475,56179929.0,67901925.168
143,000905.SH,20180528,5891.2627,5910.4817,5938.0723,5858.2716,5917.7978,-26.5351,-0.4484,57810122.0,68653122.20300001
144,000905.SH,20180525,5917.7978,5983.9402,5992.4798,5909.0449,5992.6209,-74.8231,-1.2486,57793809.0,69492013.355
145,000905.SH,20180524,5992.6209,6014.021,6028.5017,5986.7233,6013.8472,-21.2263,-0.353,53711808.0,67066127.743
146,000905.SH,20180523,6013.8472,6080.7259,6081.533,6012.4165,6092.9069,-79.0597,-1.2976,67845868.0,82629862.738
147,000905.SH,20180522,6092.9069,6066.2505,6092.9069,6052.0902,6072.1991,20.7078,0.341,62266852.0,74429137.265
148,000905.SH,20180521,6072.1991,6034.4261,6080.8222,6034.0581,5995.1497,77.0494,1.2852,70722451.0,86933285.89
149,000905.SH,20180518,5995.1497,5968.5598,6000.9482,5932.1295,5973.7785,21.3712,0.3578,57868274.0,70899023.731
150,000905.SH,20180517,5973.7785,6000.7411,6010.2957,5959.7307,6004.0696,-30.2911,-0.5045,52997273.0,65967379.65
151,000905.SH,20180516,6004.0696,6002.7535,6045.0343,5991.3751,6020.5697,-16.5001,-0.2741,58338640.0,74115190.08399999
152,000905.SH,20180515,6020.5697,5972.1618,6021.016,5947.4569999999985,5967.5541,53.0156,0.8884,54721546.0,69542971.17899999
153,000905.SH,20180514,5967.5541,5982.4709,6008.8875,5951.6746,5991.3424,-23.7883,-0.397,59798192.0,75641885.81300001
154,000905.SH,20180511,5991.3424,6044.9828,6052.5421,5989.4278,6040.5716,-49.2292,-0.815,63847253.0,76807400.761
155,000905.SH,20180510,6040.5716,6036.0064,6052.7094,5999.951,6029.2329,11.3387,0.1881,58310665.0,72313749.966
156,000905.SH,20180509,6029.2329,6034.4563,6042.906,6002.3882,6041.8143,-12.5814,-0.2082,54124153.0,67413871.007
157,000905.SH,20180508,6041.8143,6023.5829,6042.0682,6012.1266,6019.1409,22.6734,0.3767,62194666.0,80480596.675
158,000905.SH,20180507,6019.1409,5921.3128,6023.1928,5918.3792,5909.2944,109.8465,1.8589,64033358.0,83485023.684
159,000905.SH,20180504,5909.2944,5891.1201,5939.951999999998,5883.7048,5910.6058,-1.3114,-0.0222,55464047.0,73639276.0
160,000905.SH,20180503,5910.6058,5843.0903,5911.0865,5779.7298,5855.3233,55.2825,0.9441,67604490.0,83816639.269
161,000905.SH,20180502,5855.3233,5861.8413,5894.4595,5817.3868,5860.9836,-5.6603,-0.0966,63147027.0,78765922.511
162,000905.SH,20180427,5860.9836,5865.4419,5886.0043,5808.7832,5847.9766,13.007,0.2224,55997822.0,72295757.676
163,000905.SH,20180426,5847.9766,5951.1919,5955.2617,5846.0802,5959.422,-111.4454,-1.8701,62638394.0,77107589.606
164,000905.SH,20180425,5959.422,5929.405,5968.8794,5919.5228,5957.1927,2.2293,0.0374,60382790.0,78868220.46
165,000905.SH,20180424,5957.1927,5825.4524,5957.8295,5825.4524,5823.9205,133.2722,2.2884,67954118.0,85162005.263
166,000905.SH,20180423,5823.9205,5885.6124,5913.5679,5761.9719,5880.8359,-56.9154,-0.9678,63952399.0,81374959.44600001
167,000905.SH,20180420,5880.8359,5984.0635,5999.0105,5872.5044,6004.7334,-123.8975,-2.0633,72391389.0,90559645.161
168,000905.SH,20180419,6004.7334,5965.2369,6041.9856,5962.7142,5970.6577,34.0757,0.5707,75998556.0,99648952.359
169,000905.SH,20180418,5970.6577,5925.84,5981.3374,5826.6505,5890.8571,79.8006,1.3547,76201712.0,98199217.832
170,000905.SH,20180417,5890.8571,6024.5543,6038.2486,5886.023,6012.4053,-121.5482,-2.0216,71920258.0,88004229.07100001
171,000905.SH,20180416,6012.4053,6018.1688,6053.9874,5966.1961,6027.1867,-14.7814,-0.2452,70985861.0,87151671.406
172,000905.SH,20180413,6027.1867,6073.8353,6093.3469,6018.0068,6051.3346,-24.1479,-0.3991,54157636.0,66885602.11
173,000905.SH,20180412,6051.3346,6073.7659,6091.9834,6039.564,6086.6126,-35.278,-0.5796,60524240.0,72705100.81
174,000905.SH,20180411,6086.6126,6082.0316,6110.1768,6073.22,6063.7423,22.8703,0.3772,66248859.0,81079826.331
175,000905.SH,20180410,6063.7423,6032.4888,6064.3858,5992.9969999999985,6025.6493,38.093,0.6322,69420990.0,81611900.906
176,000905.SH,20180409,6025.6493,5994.3471,6053.9687,5954.5372,6017.6863,7.962999999999999,0.1323,64851820.0,79255887.033
177,000905.SH,20180404,6017.6863,6077.6466,6098.8378,6011.1516,6059.7089,-42.0226,-0.6935,67260198.0,83134527.958
