,date,date_str,open,high,low,close,long_wave,short_wave,long_high,short_low,state,key_prices
166,736026.0,20160303,62.11,62.67,61.21,61.3,3.36509090909091,2.6450000000000005,91.57,57.28,0,77.51
167,736027.0,20160304,61.48,61.48,58.02,59.01,3.3376363636363644,2.563,91.57,57.28,0,77.51
168,736030.0,20160307,60.6,61.01,59.07,59.69,3.3721818181818186,2.591,91.57,57.28,0,77.51
169,736031.0,20160308,59.68,60.8,58.03,60.62,3.3287272727272734,2.5645,91.57,57.28,0,77.51
170,736032.0,20160309,59.45,60.94,59.01,59.51,3.318727272727273,2.5744999999999996,91.57,57.28,0,77.51
171,736033.0,20160310,59.6,60.38,59.2,59.39,3.2956363636363646,2.5959999999999996,91.57,57.28,0,77.51
172,736034.0,20160311,58.71,59.49,58.65,59.4,3.282545454545455,2.5814999999999997,91.57,57.28,0,77.51
173,736037.0,20160314,61.01,65.34,61.01,65.34,3.2505454545454553,2.5815,91.57,57.28,0,77.51
174,736038.0,20160315,65.0,65.54,63.3,63.33,3.291272727272728,2.583,91.57,57.28,0,77.51
175,736039.0,20160316,63.98,63.98,60.9,62.05,3.3065454545454553,2.5210000000000004,91.57,57.28,0,77.51
176,736040.0,20160317,62.4,64.54,62.0,64.45,3.338181818181819,2.6025,91.57,57.28,0,77.51
177,736041.0,20160318,64.28,67.25,64.28,66.77,3.255272727272728,2.6210000000000004,91.57,57.28,0,77.51
178,736044.0,20160321,66.77,67.4,65.9,67.1,3.2729090909090917,2.6950000000000007,91.57,57.28,0,77.51
179,736045.0,20160322,66.69,68.49,66.01,68.0,3.2025454545454557,2.704,88.34,57.28,0,77.51
180,736046.0,20160323,67.49,68.68,66.85,67.67,3.0960000000000005,2.6834999999999996,83.88,57.28,0,77.51
181,736047.0,20160324,67.65,68.22,66.5,66.53,3.066000000000001,2.6250000000000004,83.15,57.28,0,77.51
182,736048.0,20160325,66.53,67.3,65.83,66.31,3.070363636363637,2.3570000000000007,82.9,57.28,0,77.51
183,736051.0,20160328,66.4,68.0,66.05,66.5,3.048000000000001,2.2890000000000006,81.8,57.28,0,77.51
184,736052.0,20160329,66.51,66.8,63.67,64.0,2.9416363636363645,2.233000000000001,74.2,58.02,0,77.51
185,736053.0,20160330,64.2,65.98,64.2,65.7,2.873454545454547,2.2655000000000003,74.2,58.02,0,77.51
186,736054.0,20160331,65.81,67.3,65.75,66.12,2.848545454545455,2.2300000000000004,72.0,58.02,0,77.51
187,736055.0,20160401,66.01,66.4,64.5,65.19,2.766181818181819,2.2345,69.89,58.02,0,77.51
188,736059.0,20160405,65.3,67.5,65.0,67.28,2.6789090909090914,2.1565000000000007,69.89,58.03,0,77.51
189,736060.0,20160406,67.88,67.88,66.6,67.27,2.648181818181819,2.1845000000000008,69.89,58.03,0,77.51
190,736061.0,20160407,67.8,68.96,66.82,66.99,2.6170909090909094,2.110000000000001,69.89,58.65,0,77.51
191,736062.0,20160408,66.77,67.0,65.0,67.0,2.610545454545455,2.120500000000001,69.89,58.65,0,77.51
192,736065.0,20160411,67.0,70.95,67.0,70.95,2.536363636363637,2.161500000000001,69.89,58.65,1,69.89
193,736066.0,20160412,70.7,71.65,68.32,68.88,2.5369090909090914,2.317000000000001,70.95,60.9,1,69.89
194,736067.0,20160413,69.99,70.5,68.39,68.43,2.5180000000000007,2.2670000000000017,71.65,60.9,1,69.89
195,736068.0,20160414,68.82,69.41,68.06,69.39,2.5127272727272736,2.2605000000000013,71.65,60.9,1,69.89
196,736069.0,20160415,69.49,69.61,68.19,68.29,2.5101818181818194,2.174000000000001,71.65,62.0,1,69.89
197,736072.0,20160418,67.88,67.88,66.0,67.49,2.4705454545454555,2.1180000000000008,71.65,63.67,1,69.89
198,736073.0,20160419,67.97,68.49,66.89,67.7,2.457454545454546,2.0635000000000003,71.65,63.67,1,69.89
199,736074.0,20160420,69.0,71.4,63.02,67.95,2.448909090909091,2.0685000000000002,71.65,63.67,0,63.67
200,736075.0,20160421,67.49,67.5,64.3,65.1,2.5043636363636366,2.363500000000001,71.65,63.02,0,63.67
201,736076.0,20160422,64.78,65.89,63.8,64.41,2.4743636363636368,2.4320000000000004,71.65,63.02,0,63.67
202,736079.0,20160425,64.59,65.0,63.2,65.0,2.456000000000001,2.450500000000001,71.65,63.02,0,63.67
203,736080.0,20160426,65.01,66.19,64.88,65.49,2.4360000000000004,2.4670000000000005,71.65,63.02,0,63.67
204,736081.0,20160427,65.95,65.95,64.7,64.8,2.414909090909092,2.4350000000000005,71.65,63.02,0,63.67
205,736082.0,20160428,64.88,65.15,63.32,65.0,2.390909090909092,2.3410000000000006,71.65,63.02,0,63.67
206,736083.0,20160429,64.69,66.68,64.13,65.61,2.3969090909090918,2.343500000000001,71.65,63.02,0,63.67
207,736087.0,20160503,65.98,68.27,65.0,68.16,2.4165454545454557,2.3935000000000017,71.65,63.02,0,63.67
208,736088.0,20160504,68.16,68.25,66.99,67.04,2.460727272727273,2.462000000000001,71.65,63.02,0,63.67
209,736089.0,20160505,67.0,67.99,66.61,67.53,2.405454545454546,2.4000000000000012,71.65,63.02,0,63.67
210,736090.0,20160506,67.53,68.43,66.4,67.4,2.367272727272728,2.405000000000001,71.65,63.02,0,63.67
211,736093.0,20160509,67.2,67.2,64.5,65.01,2.3778181818181823,2.399500000000001,71.65,63.02,0,63.67
212,736094.0,20160510,65.08,65.7,64.66,65.02,2.3874545454545464,2.434500000000001,71.65,63.02,0,63.67
213,736095.0,20160511,65.69,65.96,64.35,64.83,2.379272727272728,2.2890000000000015,71.65,63.02,0,63.67
